N-PSA,VNS1,VNS10,VNS30,B&BA,BN-PSA,BVNS30
3654,3689,3654,3654,4876,3654,3654
2844,2844,2844,2844,3986,2900,2844
4265,4186,4186,4186,6217,4186,4186
3502,3493,3416,3416,4440,3522,3416
2202,2007,2007,2007,2913,2020,2007
4505,4452,4452,4452,6374,4490,4452
5693,5550,5540,5540,7200,5684,5540
2186,2115,2115,2115,3450,2118,2115
2196,2196,2193,2193,3008,2196,2193
23569,23225,23164,23097,24297,23326,23097
23087,22944,22863,22944,25054,23692,22863
23487,23207,23187,23189,24749,23365,23182
26408,26133,25991,25994,28216,26669,25992
25631,25324,25305,25255,27439,25605,25255
28887,28552,28277,28320,31371,28762,28277
26797,26397,26311,26310,27861,26580,26306
26053,25587,25373,25364,27023,25602,25354
27502,27558,27324,27296,28739,27676,27296
19167,19165,19176,19113,21319,19212,19151
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
108,108,108,108,224,108,108
329,291,287,291,697,306,291
97,97,97,97,274,97,97
271,271,271,271,410,271,271
0,0,0,0,0,0,0
0,0,0,0,45,0,0
0,0,0,0,0,0,0
39,39,39,39,283,39,39
0,0,0,0,0,0,0
621,621,621,621,1001,621,621
28810,28499,28499,28498,29489,28678,28464
18455,18307,18227,18215,20779,18397,18234
29743,29119,28998,28858,29848,29503,28928
10993,10485,10437,10437,11774,10629,10437
17715,17508,17493,17493,20413,17590,17508
26673,25882,25685,25715,26096,25937,25701
20268,20243,20255,20243,22397,20408,20243
16148,15879,15851,15848,18681,16231,15848
18095,18011,17877,17877,20721,18208,17877
20022,19934,19933,19933,21326,20017,19933
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
187,187,187,187,359,187,187
0,0,0,0,0,0,0
0,0,0,0,5,5,0
0,0,0,0,0,0,0
596,497,497,497,1924,540,497
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2301,2301,2301,2301,3274,2359,2301
25570,25354,25348,25348,27571,25830,25317
25459,25069,25048,25012,25296,25031,25038
24084,23943,23889,23889,24807,24205,23889
30657,30408,30430,30422,31903,30788,30397
7876,7875,7843,7834,9481,7945,7834
28635,28377,28366,28333,28972,28571,28290
24827,24316,24174,24174,25746,24403,24174
28439,28091,28041,28057,28543,28236,28064
11595,11595,11554,11518,14034,11637,11545
11422,11415,11410,11410,14141,11523,11410
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
81,67,67,67,199,67,67
0,0,0,0,0,0,0
255,255,255,255,767,255,255
436,382,382,382,637,382,382
2822,2799,2799,2799,3958,2820,2799
361,351,351,351,484,351,351
0,0,0,0,0,0,0
446,444,444,444,557,444,444
2217,2223,2147,2176,4095,2217,2176
14725,14569,14570,14556,17957,14986,14557
30293,30168,30099,30079,31437,30749,30070
29335,28762,28570,28542,31317,29068,28448
32927,32147,32101,32051,33707,32966,32108
28311,28119,28112,28105,29698,28371,28105
10805,10647,10590,10583,13491,10744,10582
23177,22816,22787,22789,23241,22883,22791
35191,34895,34565,34537,36681,35361,34649
28318,27834,27831,27831,28889,27976,27831
14867,14710,14522,14522,16812,14876,14522
3160,3160,3154,3154,3871,3154,3154
2665,2665,2594,2594,3847,2622,2594
3216,3177,3100,3100,4637,3216,3100
3162,3162,3162,3162,4901,3194,3162
2855,2841,2811,2811,4590,2947,2811
2929,2929,2929,2929,3471,2929,2929
2745,2676,2676,2676,4752,2765,2676
2913,2913,2913,2913,3441,2934,2913
3618,3563,3562,3562,5444,3583,3562
2960,2956,2956,2956,3993,2960,2956
25360,24787,24762,24789,27291,25276,24778
26046,25953,25719,25719,30217,26138,25719
29041,28365,28168,28126,30555,28767,28122
26201,26174,25955,25923,29468,27011,25939
22804,22726,22728,22726,23632,22757,22726
23766,23359,23189,23150,25278,23537,23224
22997,22898,22885,22885,24385,22911,22885
27025,26610,26156,26156,27968,26593,26253
25770,25644,25644,25644,28017,25690,25644
26189,25262,25285,25194,27567,25797,25265
75075,73584,73372,73287,75321,74327,73181
69050,68350,68306,68086,71773,69015,68034
68051,67792,67531,67366,70590,67974,67358
66545,66344,66272,66211,68122,66663,66248
67565,67292,67056,67052,71531,67650,67169
73431,72883,72661,72621,77786,73873,72550
67760,67387,66894,66919,70253,68866,66849
67594,66313,66273,66165,70450,67433,66133
72715,71528,71067,70977,76625,72623,70711
67691,67253,66989,66985,70129,67657,67009
