N-PSA,VNS30,B&BA
1823,1823,1823
2526,2526,2526
1888,1888,1888
1787,1787,1787
1480,1480,1480
913,913,913
1543,1543,1543
1581,1581,1581
1845,1845,1845
1295,1295,1295
1509,1509,1509
2111,2111,2111
1515,1515,1515
2335,2335,2335
1841,1841,1841
1426,1426,1426
1863,1863,1863
2212,2212,2212
1739,1705,1705
2114,2114,2114
2438,2436,2436
1901,1900,1900
1406,1406,1406
1499,1499,1499
2216,2216,2216
2024,2024,2024
1316,1315,1315
1266,1266,1266
2287,2283,2283
2051,2051,2051
1018,1018,1018
1935,1935,1935
1369,1369,1369
3031,3031,3031
1457,1457,1457
2981,2981,2981
1993,1993,1993
2370,2370,2370
2942,2942,2942
1887,1880,1880
2873,2873,2873
2863,2863,2863
2415,2415,2415
3000,2993,2993
1672,1672,1672
3375,3363,3363
2175,2175,2175
1827,1823,1823
1674,1674,1674
2611,2611,2611
2010,1941,1941
3304,3304,3304
2652,2652,2652
2211,2192,2192
2662,2662,2662
1136,1136,1136
2363,2363,2363
2483,2483,2483
2595,2595,2595
2265,2265,2265
2330,2330,2330
2017,2017,2017
2384,2384,2384
1154,1154,1154
682,682,682
503,503,503
444,444,444
773,773,773
1018,1018,1018
936,936,936
1588,1587,1587
1638,1638,1638
845,845,845
1075,1075,1075
914,914,914
632,632,632
1655,1655,1655
198,198,198
1420,1420,1420
1029,1029,1029
877,877,877
996,996,996
1211,1211,1211
1416,1416,1416
1016,1008,1008
1320,1320,1320
183,183,183
1049,1049,1049
820,820,820
865,865,865
908,908,908
1193,1193,1193
723,723,723
1187,1187,1187
1094,1094,1094
1168,1168,1168
503,503,503
1418,1418,1418
1512,1512,1512
1945,1945,1945
1379,1379,1379
541,541,541
902,894,894
1258,1258,1258
1627,1627,1627
631,631,631
758,758,758
1721,1721,1721
1065,1065,1065
812,812,812
381,381,381
393,393,393
1155,1155,1155
1225,1225,1225
653,653,653
1317,1317,1317
393,393,393
1778,1778,1778
1430,1430,1430
1164,1164,1164
1408,1408,1408
1408,1408,1408
2399,2399,2399
1040,1040,1039
560,549,549
472,472,472
1634,1634,1634
1458,1458,1458
189,189,189
1628,1628,1628
406,406,406
689,689,689
1422,1422,1422
1055,1055,1055
1860,1859,1859
1207,1207,1207
1474,1474,1474
393,393,393
1342,1342,1342
1441,1441,1441
2016,2016,2016
1504,1504,1504
1133,1133,1133
1925,1925,1925
536,536,536
634,634,634
1441,1441,1441
1217,1217,1217
1356,1356,1356
670,668,668
1290,1290,1290
1606,1606,1606
1230,1230,1230
924,924,924
2117,2117,2117
1883,1883,1883
1547,1547,1547
1773,1773,1773
1015,1015,1015
179,179,179
1081,1081,1081
1824,1824,1824
1370,1360,1360
1617,1617,1617
1014,1014,1014
1986,1984,1984
993,993,993
1731,1731,1731
1591,1591,1591
1271,1281,1271
908,908,908
374,374,374
1186,1186,1186
1714,1714,1714
370,370,370
546,546,546
1461,1461,1461
654,654,654
1810,1810,1810
1940,1940,1940
1529,1529,1529
1592,1592,1592
1787,1787,1787
2332,2332,2332
1316,1316,1316
1545,1545,1545
1414,1414,1414
837,837,837
1042,1042,1042
825,825,825
997,997,997
2493,2493,2493
1509,1509,1509
2117,2117,2117
1101,1101,1101
1564,1564,1564
1166,1166,1166
940,940,940
1010,1010,1010
1043,1043,1043
1632,1632,1632
1813,1813,1813
837,837,837
2052,2052,2052
1863,1863,1863
1442,1442,1442
1336,1336,1336
1682,1682,1682
1141,1141,1141
1814,1814,1814
1699,1699,1699
1639,1639,1639
1219,1219,1219
2298,2298,2298
2321,2321,2321
2513,2513,2513
400,400,400
1811,1811,1811
2001,2001,2001
297,297,297
1468,1468,1468
1404,1404,1404
1436,1436,1436
717,717,717
2568,2568,2568
1962,1962,1962
1204,1204,1204
1957,1948,1948
2070,2070,2070
2392,2392,2392
3578,3578,3578
